season,episode,youtube_id,airdate,hosts,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,author,popcorn,oscar_pick
1,3,nfOMBioJDJg,11/16/2012,Gregg Turkington|Tim Heidecker,The Twilight Saga: Breaking Dawn - Part 2,2012,PG-13,16 Nov 2012,115 min,"Adventure, Drama, Fantasy, Romance",Bill Condon,"Melissa Rosenberg (screenplay), Stephenie Meyer (novel)","Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli","After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",English,USA,21 wins & 15 nominations.,https://m.media-amazon.com/images/M/MV5BMTcyMzUyMzY1OF5BMl5BanBnXkFtZTcwNDQ4ODk1OA@@._V1_SX300.jpg,52,5.5,"230,832",tt1673434,movie,N/A,"$292,324,737",Temple Hill,N/A,True,Tim,4,False
1,4,QYVJLsbciS8,11/21/2012,Gregg Turkington|Tim Heidecker,Red Dawn,2012,PG-13,21 Nov 2012,93 min,"Action, Drama",Dan Bradley,"Carl Ellsworth (screenplay), Jeremy Passmore (screenplay), Kevin Reynolds, John Milius, Kevin Reynolds (story)","Chris Hemsworth, Josh Peck, Josh Hutcherson, Adrianne Palicki",A group of teenagers look to save their town from an invasion of North Korean soldiers.,"English, Korean",USA,1 win & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMjI0MDAwMzA1M15BMl5BanBnXkFtZTcwNzIxMjY3OA@@._V1_SX300.jpg,31,5.4,"73,262",tt1234719,movie,N/A,"$44,806,783",Contrafilm,N/A,True,Gregg,4,False
1,4,QYVJLsbciS8,11/21/2012,Gregg Turkington|Tim Heidecker,Red Dawn,2012,PG-13,21 Nov 2012,93 min,"Action, Drama",Dan Bradley,"Carl Ellsworth (screenplay), Jeremy Passmore (screenplay), Kevin Reynolds, John Milius, Kevin Reynolds (story)","Chris Hemsworth, Josh Peck, Josh Hutcherson, Adrianne Palicki",A group of teenagers look to save their town from an invasion of North Korean soldiers.,"English, Korean",USA,1 win & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMjI0MDAwMzA1M15BMl5BanBnXkFtZTcwNzIxMjY3OA@@._V1_SX300.jpg,31,5.4,"73,262",tt1234719,movie,N/A,"$44,806,783",Contrafilm,N/A,True,Tim,5,False
1,4,QYVJLsbciS8,11/21/2012,Gregg Turkington|Tim Heidecker,Life of Pi,2012,PG,21 Nov 2012,127 min,"Adventure, Drama, Fantasy",Ang Lee,"Yann Martel (novel), David Magee (screenplay)","Suraj Sharma, Irrfan Khan, Ayush Tandon, Gautam Belur","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.","English, Tamil, French, Japanese, Hindi, Chinese, Arabic","USA, Taiwan, UK, Mexico, Canada",Won 4 Oscars. Another 78 wins & 133 nominations.,https://m.media-amazon.com/images/M/MV5BNTg2OTY2ODg5OF5BMl5BanBnXkFtZTcwODM5MTYxOA@@._V1_SX300.jpg,79,7.9,"580,145",tt0454876,movie,N/A,"$124,987,023","Haishang Films, Gil Netter",N/A,True,Gregg,5,False
1,4,QYVJLsbciS8,11/21/2012,Gregg Turkington|Tim Heidecker,Life of Pi,2012,PG,21 Nov 2012,127 min,"Adventure, Drama, Fantasy",Ang Lee,"Yann Martel (novel), David Magee (screenplay)","Suraj Sharma, Irrfan Khan, Ayush Tandon, Gautam Belur","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.","English, Tamil, French, Japanese, Hindi, Chinese, Arabic","USA, Taiwan, UK, Mexico, Canada",Won 4 Oscars. Another 78 wins & 133 nominations.,https://m.media-amazon.com/images/M/MV5BNTg2OTY2ODg5OF5BMl5BanBnXkFtZTcwODM5MTYxOA@@._V1_SX300.jpg,79,7.9,"580,145",tt0454876,movie,N/A,"$124,987,023","Haishang Films, Gil Netter",N/A,True,Tim,4,False
1,5,WzFILC5bI_c,11/29/2012,Gregg Turkington|Tim Heidecker,Universal Soldier: Day of Reckoning,2012,R,25 Oct 2012,114 min,"Action, Horror, Mystery, Sci-Fi, Thriller",John Hyams,"John Hyams (screenplay), Doug Magnuson (screenplay), Jon Greenhalgh (screenplay), John Hyams (story), Moshe Diamant (story), Richard Rothstein (based on characters created by), Christopher Leitch (based on characters created by)","Jean-Claude Van Damme, Dolph Lundgren, Scott Adkins, Mariah Bonner","John looks to take down Luc Deveraux after a home invasion claims his wife and daughter. The fight pits John against Andrew Scott and an army of genetically enhanced warriors; meanwhile, he must contend with a UniSol in relentless pursuit.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTM3ODMxMDY0MF5BMl5BanBnXkFtZTcwNDc3MTY0OA@@._V1_SX300.jpg,58,5.0,"19,276",tt1659343,movie,N/A,"$5,460","Baumgarten, Foresight Unlimited, Signature Pictures",N/A,True,Gregg,5,False
1,5,WzFILC5bI_c,11/29/2012,Gregg Turkington|Tim Heidecker,The Frozen Ground,2013,R,01 Feb 2013,105 min,"Crime, Drama, Thriller",Scott Walker,Scott Walker,"Nicolas Cage, Vanessa Hudgens, John Cusack, Dean Norris",An Alaska State Trooper partners with a young woman who escaped the clutches of serial killer Robert Hansen to bring the murderer to justice. Based on actual events.,"English, French",USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BYzM3Mjc1ZDItMTE1OC00ODk0LWFmZjctYzgxZmYwNzliMTdkXkEyXkFqcGdeQXVyMTAxNDE3MTE5._V1_SX300.jpg,37,6.4,"58,286",tt2005374,movie,N/A,N/A,Grindstone Entertainment Group,N/A,True,Tim,4,False
1,5,WzFILC5bI_c,11/29/2012,Gregg Turkington|Tim Heidecker,The Frozen Ground,2013,R,01 Feb 2013,105 min,"Crime, Drama, Thriller",Scott Walker,Scott Walker,"Nicolas Cage, Vanessa Hudgens, John Cusack, Dean Norris",An Alaska State Trooper partners with a young woman who escaped the clutches of serial killer Robert Hansen to bring the murderer to justice. Based on actual events.,"English, French",USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BYzM3Mjc1ZDItMTE1OC00ODk0LWFmZjctYzgxZmYwNzliMTdkXkEyXkFqcGdeQXVyMTAxNDE3MTE5._V1_SX300.jpg,37,6.4,"58,286",tt2005374,movie,N/A,N/A,Grindstone Entertainment Group,N/A,True,Gregg,4,False
1,6,HMKm0CYEXDU,12/6/2012,Gregg Turkington|Tim Heidecker,Playing for Keeps,2012,PG-13,07 Dec 2012,105 min,"Comedy, Romance, Sport",Gabriele Muccino,Robbie Fox,"Gerard Butler, Jessica Biel, Noah Lomax, Dennis Quaid",A former sports star who's fallen on hard times starts coaching his son's football team as a way to get his life together. His attempts to become an adult are met with challenges from the attractive football moms who pursue him at every turn.,English,USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BMTY1MTU1OTA5NF5BMl5BanBnXkFtZTcwNTM1MTQyOA@@._V1_SX300.jpg,27,5.7,"28,858",tt1540128,movie,N/A,"$13,103,272","Gerard Butler Alan Siegel Entertainment, Misher Films, Eclectic Pictures, York Square Productions, Nu Image",N/A,True,Gregg,4,False
1,6,HMKm0CYEXDU,12/6/2012,Gregg Turkington|Tim Heidecker,Playing for Keeps,2012,PG-13,07 Dec 2012,105 min,"Comedy, Romance, Sport",Gabriele Muccino,Robbie Fox,"Gerard Butler, Jessica Biel, Noah Lomax, Dennis Quaid",A former sports star who's fallen on hard times starts coaching his son's football team as a way to get his life together. His attempts to become an adult are met with challenges from the attractive football moms who pursue him at every turn.,English,USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BMTY1MTU1OTA5NF5BMl5BanBnXkFtZTcwNTM1MTQyOA@@._V1_SX300.jpg,27,5.7,"28,858",tt1540128,movie,N/A,"$13,103,272","Gerard Butler Alan Siegel Entertainment, Misher Films, Eclectic Pictures, York Square Productions, Nu Image",N/A,True,Tim,4,False
1,6,HMKm0CYEXDU,12/6/2012,Gregg Turkington|Tim Heidecker,Hyde Park on Hudson,2012,R,01 Feb 2013,94 min,"Biography, Comedy, Drama, History",Roger Michell,Richard Nelson,"Bill Murray, Laura Linney, Samuel West, Olivia Colman","The story of the love affair between FDR and his distant cousin Margaret ""Daisy"" Suckley, centered around the weekend in 1939 when the King and Queen of the United Kingdom visited upstate New York.",English,UK,Nominated for 1 Golden Globe. Another 1 win & 4 nominations.,https://m.media-amazon.com/images/M/MV5BNjU1MzU3Nzc4OF5BMl5BanBnXkFtZTcwOTk5NDI4Nw@@._V1_SX300.jpg,55,5.9,"11,273",tt1477855,movie,N/A,"$6,376,145","Free Range Films, Daybreak Pictures Ltd. [us]",N/A,True,Tim,5,False
1,6,HMKm0CYEXDU,12/6/2012,Gregg Turkington|Tim Heidecker,Hyde Park on Hudson,2012,R,01 Feb 2013,94 min,"Biography, Comedy, Drama, History",Roger Michell,Richard Nelson,"Bill Murray, Laura Linney, Samuel West, Olivia Colman","The story of the love affair between FDR and his distant cousin Margaret ""Daisy"" Suckley, centered around the weekend in 1939 when the King and Queen of the United Kingdom visited upstate New York.",English,UK,Nominated for 1 Golden Globe. Another 1 win & 4 nominations.,https://m.media-amazon.com/images/M/MV5BNjU1MzU3Nzc4OF5BMl5BanBnXkFtZTcwOTk5NDI4Nw@@._V1_SX300.jpg,55,5.9,"11,273",tt1477855,movie,N/A,"$6,376,145","Free Range Films, Daybreak Pictures Ltd. [us]",N/A,True,Gregg,5,False
1,7,Okikb3fpN4w,12/13/2012,Gregg Turkington|Tim Heidecker,Les Misérables,2012,PG-13,25 Dec 2012,158 min,"Drama, History, Musical, Romance, War",Tom Hooper,"William Nicholson (screenplay by), Alain Boublil (screenplay by), Claude-Michel Schönberg (screenplay by), Herbert Kretzmer (screenplay by), Alain Boublil (based on: the original stage musical ""Les Misérables""), Claude-Michel Schönberg (based on: the original stage musical ""Les Misérables""), Victor Hugo (based on: the original stage musical ""Les Misérables"",  from the novel by)","Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",English,"UK, USA",Won 3 Oscars. Another 83 wins & 175 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ4NDI3NDg4M15BMl5BanBnXkFtZTcwMjY5OTI1OA@@._V1_SX300.jpg,63,7.6,"308,081",tt1707386,movie,N/A,"$148,809,770","Working Title Films, Cameron Mackintosh",N/A,True,Gregg,4,False
1,7,Okikb3fpN4w,12/13/2012,Gregg Turkington|Tim Heidecker,Les Misérables,2012,PG-13,25 Dec 2012,158 min,"Drama, History, Musical, Romance, War",Tom Hooper,"William Nicholson (screenplay by), Alain Boublil (screenplay by), Claude-Michel Schönberg (screenplay by), Herbert Kretzmer (screenplay by), Alain Boublil (based on: the original stage musical ""Les Misérables""), Claude-Michel Schönberg (based on: the original stage musical ""Les Misérables""), Victor Hugo (based on: the original stage musical ""Les Misérables"",  from the novel by)","Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",English,"UK, USA",Won 3 Oscars. Another 83 wins & 175 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ4NDI3NDg4M15BMl5BanBnXkFtZTcwMjY5OTI1OA@@._V1_SX300.jpg,63,7.6,"308,081",tt1707386,movie,N/A,"$148,809,770","Working Title Films, Cameron Mackintosh",N/A,True,Tim,5,False
1,7,Okikb3fpN4w,12/13/2012,Gregg Turkington|Tim Heidecker,The Hobbit: An Unexpected Journey,2012,PG-13,14 Dec 2012,169 min,"Adventure, Fantasy",Peter Jackson,"Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Guillermo del Toro (screenplay), J.R.R. Tolkien (novel)","Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott","A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",English,"New Zealand, USA",Nominated for 3 Oscars. Another 11 wins & 72 nominations.,https://m.media-amazon.com/images/M/MV5BMTcwNTE4MTUxMl5BMl5BanBnXkFtZTcwMDIyODM4OA@@._V1_SX300.jpg,58,7.8,"755,242",tt0903624,movie,N/A,"$303,003,568",WingNut Films,N/A,True,Gregg,5,False
1,7,Okikb3fpN4w,12/13/2012,Gregg Turkington|Tim Heidecker,The Hobbit: An Unexpected Journey,2012,PG-13,14 Dec 2012,169 min,"Adventure, Fantasy",Peter Jackson,"Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Guillermo del Toro (screenplay), J.R.R. Tolkien (novel)","Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott","A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",English,"New Zealand, USA",Nominated for 3 Oscars. Another 11 wins & 72 nominations.,https://m.media-amazon.com/images/M/MV5BMTcwNTE4MTUxMl5BMl5BanBnXkFtZTcwMDIyODM4OA@@._V1_SX300.jpg,58,7.8,"755,242",tt0903624,movie,N/A,"$303,003,568",WingNut Films,N/A,True,Tim,6,False
1,8,qjqfZhyGSrA,12/21/2012,Gregg Turkington|Tim Heidecker,"Monsters, Inc.",2001,G,02 Nov 2001,92 min,"Animation, Adventure, Comedy, Family, Fantasy","Pete Docter, David Silverman(co-director), Lee Unkrich(co-director)","Pete Docter (original story by), Jill Culton (original story by), Jeff Pidgeon (original story by), Ralph Eggleston (original story by), Andrew Stanton (screenplay by), Daniel Gerson (screenplay by)","John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",English,USA,Won 1 Oscar. Another 14 wins & 38 nominations.,https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_SX300.jpg,79,8.1,"814,314",tt0198781,movie,N/A,"$290,642,256","Walt Disney Productions, Pixar Animation Studios",N/A,True,Gregg,5,False
1,8,qjqfZhyGSrA,12/21/2012,Gregg Turkington|Tim Heidecker,"Monsters, Inc.",2001,G,02 Nov 2001,92 min,"Animation, Adventure, Comedy, Family, Fantasy","Pete Docter, David Silverman(co-director), Lee Unkrich(co-director)","Pete Docter (original story by), Jill Culton (original story by), Jeff Pidgeon (original story by), Ralph Eggleston (original story by), Andrew Stanton (screenplay by), Daniel Gerson (screenplay by)","John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",English,USA,Won 1 Oscar. Another 14 wins & 38 nominations.,https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_SX300.jpg,79,8.1,"814,314",tt0198781,movie,N/A,"$290,642,256","Walt Disney Productions, Pixar Animation Studios",N/A,True,Tim,3,False
1,8,qjqfZhyGSrA,12/21/2012,Gregg Turkington|Tim Heidecker,Zero Dark Thirty,2012,R,11 Jan 2013,157 min,"Drama, History, Thriller, War",Kathryn Bigelow,Mark Boal,"Jason Clarke, Reda Kateb, Jessica Chastain, Kyle Chandler","A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.","English, Arabic, Urdu, Pushto, French","USA, United Arab Emirates",Won 1 Oscar. Another 86 wins & 173 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ4OTUyNzcwN15BMl5BanBnXkFtZTcwMTQ1NDE3OA@@._V1_SX300.jpg,95,7.4,"270,950",tt1790885,movie,N/A,"$95,720,716","Mark Boal, Annapurna Pictures, First Light Production",N/A,True,Tim,3,False
1,8,qjqfZhyGSrA,12/21/2012,Gregg Turkington|Tim Heidecker,Zero Dark Thirty,2012,R,11 Jan 2013,157 min,"Drama, History, Thriller, War",Kathryn Bigelow,Mark Boal,"Jason Clarke, Reda Kateb, Jessica Chastain, Kyle Chandler","A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.","English, Arabic, Urdu, Pushto, French","USA, United Arab Emirates",Won 1 Oscar. Another 86 wins & 173 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ4OTUyNzcwN15BMl5BanBnXkFtZTcwMTQ1NDE3OA@@._V1_SX300.jpg,95,7.4,"270,950",tt1790885,movie,N/A,"$95,720,716","Mark Boal, Annapurna Pictures, First Light Production",N/A,True,Gregg,4,False
1,9,vvoqgPay8bM,12/27/2012,Gregg Turkington|Tim Heidecker,Jack Reacher,2012,PG-13,21 Dec 2012,130 min,"Action, Thriller",Christopher McQuarrie,"Lee Child (based on the book ""One Shot"" by), Christopher McQuarrie (written for the screen by)","Tom Cruise, Rosamund Pike, Richard Jenkins, David Oyelowo",A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims.,English,USA,1 win & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMTM1NjUxMDI3OV5BMl5BanBnXkFtZTcwNjg1ODM3OA@@._V1_SX300.jpg,50,7.0,"308,073",tt0790724,movie,N/A,"$80,070,736","Tom Cruise, Mutual Film Company, Paramount Pictures",N/A,True,Tim,6,False
1,9,vvoqgPay8bM,12/27/2012,Gregg Turkington|Tim Heidecker,Jack Reacher,2012,PG-13,21 Dec 2012,130 min,"Action, Thriller",Christopher McQuarrie,"Lee Child (based on the book ""One Shot"" by), Christopher McQuarrie (written for the screen by)","Tom Cruise, Rosamund Pike, Richard Jenkins, David Oyelowo",A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims.,English,USA,1 win & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMTM1NjUxMDI3OV5BMl5BanBnXkFtZTcwNjg1ODM3OA@@._V1_SX300.jpg,50,7.0,"308,073",tt0790724,movie,N/A,"$80,070,736","Tom Cruise, Mutual Film Company, Paramount Pictures",N/A,True,Gregg,5,False
