season,episode,airdate,hosts,youtube_id,view_count,like_count,dislike_count,movie,year,cover_url,imdb_id,imdb_rating,runtime,imdb_cast,imdb_votes,oscar_winner
2,9,4/4/2013,Gregg Turkington|Tim Heidecker,ri0n5EMEApY,165730,1397,25,Jurassic Park,1993,https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_SX300.jpg,0107290,8.1,127,Sam Neill|Laura Dern|Jeff Goldblum|Richard Attenborough|Bob Peck,857021,False
3,1,7/3/2013,Gregg Turkington|Tim Heidecker,Sx19DKoUdUg,228995,1971,46,Two Weeks Notice,2002,https://m.media-amazon.com/images/M/MV5BYTg4N2M2ODItZjVjMy00YTljLTllNjUtYzY4ZTE2MTI2M2RhXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,0313737,6.1,101,Sandra Bullock|Hugh Grant|Alicia Witt|Dana Ivey|Robert Klein,106203,False
3,2,7/10/2013,Gregg Turkington|Tim Heidecker,-3fzhadeZgg,191423,1634,117,Six Days Seven Nights,1998,https://m.media-amazon.com/images/M/MV5BZDgwYzNlMjYtNjQxMy00NjQxLWJiMTItNjkzZTQ0ZTZiMTcyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,0120828,5.8,102,Harrison Ford|Anne Heche|David Schwimmer|Jacqueline Obradors|Temuera Morrison,72214,False
3,5,7/31/2013,Gregg Turkington|Tim Heidecker,wE7iRtuJYK8,161262,1401,32,Jack Frost,1998,https://m.media-amazon.com/images/M/MV5BOTE4YWIzNjItZWNhNi00Y2E1LTgyODktMTUzM2ZkMmJlNDFlL2ltYWdlXkEyXkFqcGdeQXVyNjg4NzYzMzA@._V1_SX300.jpg,0141109,5.4,101,Michael Keaton|Kelly Preston|Joseph Cross|Mark Addy|Andrew Lawrence,32426,False
3,8,8/21/2013,Ayaka Ohwaki|John Aprea|Tim Heidecker,Yr_q3Gxvex0,158589,1201,55,Airheads,1994,https://images-na.ssl-images-amazon.com/images/M/MV5BMGIxNjVlMzUtMDE0ZC00OTRlLThkMGMtMWU2MWQ4ZTY1OGJmL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,0109068,6.1,92,Brendan Fraser|Steve Buscemi|Adam Sandler|Chris Farley|Michael McKean,45820,False
3,9,8/28/2013,Ayaka Ohwaki|Gregg Turkington|Tim Heidecker,sPIniCEtY9U,195627,2301,42,The Family Man,2000,https://m.media-amazon.com/images/M/MV5BYzYzMTQ4NDYtNWRkZi00NTYxLThlZDItMzI1MmU1MmU5ZWQ3XkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_SX300.jpg,0218967,6.8,125,Nicolas Cage|Téa Leoni|Don Cheadle|Jeremy Piven|Saul Rubinek,101952,False
4,2,1/15/2014,Gregg Turkington|Tim Heidecker,K_0ljrFYE5E,188511,2191,37,Forget Paris,1995,https://images-na.ssl-images-amazon.com/images/M/MV5BM2ZkYTUxZjQtODhkMy00NWI3LWFlMDMtMzYzZTQ3YmFjMjg4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,0113097,6.5,101,Billy Crystal|Debra Winger|Joe Mantegna|Cynthia Stevenson|Richard Masur,11308,False
4,6,2/12/2014,Gregg Turkington|Larry Turman,zL2wK-HyeJQ,186725,1888,198,Medicine Man,1992,https://ia.media-imdb.com/images/M/MV5BODc3NTFkYTEtMTUzZi00ZTI4LWJjMGItNWI4ZGFlOTNhNGY1XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,0104839,6.0,106,Sean Connery|Lorraine Bracco|José Wilker|Rodolfo De Alexandre|Francisco Tsiren Tsere Rereme,21194,False
4,7,2/19/2014,Gregg Turkington|Tim Heidecker,obTi-asfsK4,187137,1576,34,The Hobbit: An Unexpected Journey,2012,https://m.media-amazon.com/images/M/MV5BMTcwNTE4MTUxMl5BMl5BanBnXkFtZTcwMDIyODM4OA@@._V1_SX300.jpg,0903624,7.8,169,Ian McKellen|Martin Freeman|Richard Armitage|Ken Stott|Graham McTavish,750901,False
4,8,2/26/2014,Gregg Turkington|Tim Heidecker|Joe Estevez,GRUe-F0g2fc,181005,1720,15,The Slipper and the Rose: The Story of Cinderella,1976,https://ia.media-imdb.com/images/M/MV5BNDVkMjA0ZDQtZTE1ZC00NGY3LWEwMGUtMzQxZGI5Y2FkNGYyXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,0075232,7.0,146,Richard Chamberlain|Gemma Craven|Annette Crosbie|Edith Evans|Christopher Gable,2464,False
4,10,3/12/2014,Gregg Turkington|Tim Heidecker|Joe Estevez,1mz3aHHFxpc,153161,1655,20,Baby Boom,1987,https://ia.media-imdb.com/images/M/MV5BMTY4NDY2ODMzOV5BMl5BanBnXkFtZTcwMjQ0MTcyNA@@._V1_SX300.jpg,0092605,6.3,110,Diane Keaton|Sam Shepard|Harold Ramis|Kristina Kennedy|Michelle Kennedy,13712,False
5,1,7/2/2014,Gregg Turkington|Tim Heidecker,9rKNLhPo9bg,203250,1646,35,Blues Brothers 2000,1998,https://ia.media-imdb.com/images/M/MV5BMGUyODE5ODAtZTIzNy00NDg4LTlhOTQtMTQ0MzU0MTdmZDFmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,0118747,4.9,123,Walter Levine|Dan Aykroyd|Tom Davis|Frank Oz|Shann Johnson,31291,False
5,4,7/23/2014,Gregg Turkington|Tim Heidecker|Joe Estevez,BQx_2bQniZI,168016,1529,31,Q & A,1990,https://images-na.ssl-images-amazon.com/images/M/MV5BYTI0NWNjZmQtNzExNC00YzVhLWFiMTAtOGJjOGIwZTExY2QxXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,0100442,6.6,132,Nick Nolte|Timothy Hutton|Armand Assante|Patrick O'Neal|Lee Richardson,5289,False
5,8,8/20/2014,Gregg Turkington|Tim Heidecker,P93K-73MshM,168213,1524,32,I.Q.,1994,https://ia.media-imdb.com/images/M/MV5BN2VkMzZlMTctZjVlOS00NmQ1LTg1ZDItMDc5NzhlNDRhMjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,0110099,6.2,100,Tim Robbins|Meg Ryan|Walter Matthau|Lou Jacobi|Gene Saks,23451,False
6,4,2/25/2015,Gregg Turkington|Tim Heidecker,ZGy4YwfTPBY,141242,1362,14,Son of the Pink Panther,1993,https://ia.media-imdb.com/images/M/MV5BMTU3NDUzNzkzNV5BMl5BanBnXkFtZTcwMDExMjMyNA@@._V1_SX300.jpg,0108187,3.9,93,Roberto Benigni|Herbert Lom|Claudia Cardinale|Shabana Azmi|Debrah Farentino,4809,False
6,8,3/25/2015,Gregg Turkington|Tim Heidecker,mYVQo_jH3Po,128441,1469,17,Man Trouble,1992,https://m.media-amazon.com/images/M/MV5BOGUyOWNhNzktZmFmMi00ZTA0LTlmNTQtY2Q1MzE4NjUwODJhXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,0104804,4.7,100,Jack Nicholson|Ellen Barkin|Harry Dean Stanton|Beverly D'Angelo|Michael McKean,2940,False
6,10,4/8/2015,Ayaka Ohwaki|Tim Heidecker,JDUbtFKcf2M,124688,1165,44,The Hangover Part II,2011,https://m.media-amazon.com/images/M/MV5BMTM2MTM4MzY2OV5BMl5BanBnXkFtZTcwNjQ3NzI4NA@@._V1_SX300.jpg,1411697,6.5,102,Bradley Cooper|Ed Helms|Zach Galifianakis|Justin Bartha|Ken Jeong,460098,False
7,2,9/16/2015,Gregg Turkington|Tim Heidecker,JszcIgBV_MI,170069,1466,33,Our Song,2000,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwNzQ4Nzg0MF5BMl5BanBnXkFtZTcwMjIxNzUxMQ@@._V1_SX300.jpg,0234407,6.8,95,Melissa Martinez|Anna Simpson|Kerry Washington|The Jackie Robinson Steppers Marching Band|Marlene Forte,757,False
7,5,10/7/2015,Gregg Turkington|Tim Heidecker,gaQbGCg7_Mw,199299,1885,56,Blue Streak,1999,https://m.media-amazon.com/images/M/MV5BYTJkYTBlZjktYmYyYi00ZWQ0LTgyMWYtMjQ5Yzg1Y2M3YzE5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,0181316,6.3,93,Martin Lawrence|Luke Wilson|Peter Greene|Dave Chappelle|Nicole Ari Parker,74376,False
7,9,11/5/2015,Gregg Turkington,rYhc3na7j0k,140131,1965,57,How to Lose a Guy in 10 Days,2003,https://m.media-amazon.com/images/M/MV5BMjE4NTA1NzExN15BMl5BanBnXkFtZTYwNjc3MjM3._V1_SX300.jpg,0251127,6.4,116,Kate Hudson|Matthew McConaughey|Kathryn Hahn|Annie Parisse|Adam Goldberg,208295,False
7,9,11/5/2015,Gregg Turkington,rYhc3na7j0k,140131,1965,57,Swing Shift,1984,https://ia.media-imdb.com/images/M/MV5BMDFkZjBlMGMtYzQ1Mi00YjdlLWEzYmEtMDA5ODQzODAyMWVhXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,0088213,5.9,100,Goldie Hawn|Kurt Russell|Christine Lahti|Fred Ward|Ed Harris,4276,False
8,7,9/7/2016,Gregg Turkington|Mark Proksch,Qb3kMeOxCAQ,156747,1831,31,The Wood,1999,https://m.media-amazon.com/images/M/MV5BMjE2MDYxMzI0MV5BMl5BanBnXkFtZTcwOTU3NzYyMQ@@._V1_SX300.jpg,0161100,7.0,106,Elayn J. Taylor|Omar Epps|Richard T. Jones|Sean Nelson|Duane Finley,8372,False
8,7,9/7/2016,Gregg Turkington|Mark Proksch,Qb3kMeOxCAQ,156747,1831,31,Holiday Heart,2000,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzMjM3NzE2OF5BMl5BanBnXkFtZTcwNTQ4MzYxMQ@@._V1_SX300.jpg,0250425,7.6,100,Ving Rhames|Alfre Woodard|Jesika Reynolds|Mykelti Williamson|Johnathan Wesley Wallace,1122,False
9,3,3/20/2017,Gregg Turkington|Mark Proksch|Tim Heidecker,wRGvQosfuos,135239,1382,58,A Vow to Kill,1995,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5MjkxNDY3NV5BMl5BanBnXkFtZTcwMTY1MjAzMQ@@._V1_SX300.jpg,0114874,4.8,87,Richard Grieco|Julianne Phillips|Gordon Pinsent|Peter MacNeill|Tom Cavanagh,117,False
9,6,4/10/2017,Gregg Turkington|Mark Proksch|Luther Sanchez|Tim Heidecker,1xkShGA6IQs,134539,1415,54,How to Deal,2003,https://m.media-amazon.com/images/M/MV5BOTMzOTk0NDA4OV5BMl5BanBnXkFtZTYwNTY5NjY3._V1_SX300.jpg,0319524,5.6,101,Mandy Moore|Allison Janney|Trent Ford|Alexandra Holden|Dylan Baker,9161,False
10,4,4/12/2018,Gregg Turkington|Max Eucompco|Tim Heidecker,H9HXh5ZYkn4,157181,2303,75,Creature from the Black Lagoon,1954,https://m.media-amazon.com/images/M/MV5BMjMwMjA5NDkyMl5BMl5BanBnXkFtZTgwMzYyMTY2MTE@._V1_SX300.jpg,0046876,7.0,79,Richard Carlson|Julie Adams|Richard Denning|Antonio Moreno|Nestor Paiva,26463,False
10,5,4/19/2018,Gregg Turkington|Max Eucompco|Tim Heidecker,fU-bU8MIeUs,152708,2054,97,The Life of David Gale,2003,https://m.media-amazon.com/images/M/MV5BMTAxMzU0NTgxNzZeQTJeQWpwZ15BbWU2MDQzNDkxNw@@._V1_SX300.jpg,0289992,7.6,130,Kate Winslet|Cleo King|Constance Jones|Kevin Spacey|Laura Linney,108933,False
10,6,4/26/2018,Gregg Turkington|Max Eucompco|Tim Heidecker,OGgGA3XCFLY,135179,1755,60,Training Day,2001,https://m.media-amazon.com/images/M/MV5BMDZkMTUxYWEtMDY5NS00ZTA5LTg3MTItNTlkZWE1YWRjYjMwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,0139654,7.7,122,Denzel Washington|Ethan Hawke|Scott Glenn|Tom Berenger|Harris Yulin,385704,False
10,8,5/10/2018,Gregg Turkington|Tim Heidecker,nvMA_jKlQ_o,164916,2224,51,Eye for an Eye,1996,https://m.media-amazon.com/images/M/MV5BMDM4Mzc5ZjAtM2JjMi00NzU1LWEzM2MtNDQzNWI5MmRkM2I1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,0116260,6.2,101,Sally Field|Ed Harris|Olivia Burnette|Alexandra Kyle|Kiefer Sutherland,13348,False
10,8,5/10/2018,Gregg Turkington|Tim Heidecker,nvMA_jKlQ_o,164916,2224,51,Mystery Men,1999,https://m.media-amazon.com/images/M/MV5BYjdkZDRhYTgtNDliYS00ZmE1LThjYWMtOWNjNzNiODFmY2VmXkEyXkFqcGdeQXVyNjc4ODQwNzg@._V1_SX300.jpg,0132347,6.1,121,Hank Azaria|Janeane Garofalo|William H. Macy|Kel Mitchell|Paul Reubens,61458,False
10,9,5/17/2018,Gregg Turkington|Mark Proksch|Tim Heidecker,XYReLQBKo50,149061,2336,126,100 Kilos,2001,https://images-na.ssl-images-amazon.com/images/M/MV5BYTA5NDM3MjQtYjcwZC00Y2RhLTg4ZjQtMGYyY2YwNWZiYWEyXkEyXkFqcGdeQXVyNjc5NTAwNzY@._V1_SX300.jpg,0242586,5.4,89,Glenn Plummer|Dwayne Adway|Mane Rich Andrew|Ski Carr|Carlos Carrasco,89,False
10,9,5/17/2018,Gregg Turkington|Mark Proksch|Tim Heidecker,XYReLQBKo50,149061,2336,126,Next of Kin,1989,https://ia.media-imdb.com/images/M/MV5BMjBjMDBkYjYtM2YzNS00NzNkLWExMWYtOTlmZDRhZjFkZTY2XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,0097967,5.9,108,Patrick Swayze|Liam Neeson|Adam Baldwin|Helen Hunt|Andreas Katsulas,9391,False
10,9,5/17/2018,Gregg Turkington|Mark Proksch|Tim Heidecker,XYReLQBKo50,149061,2336,126,The Punisher,2004,https://m.media-amazon.com/images/M/MV5BMjI5NjcwMTQxMV5BMl5BanBnXkFtZTcwODg5ODkwNQ@@._V1_SX300.jpg,0330793,6.4,124,A. Russell Andrews|Omar Avila|James Carpinello|Mark Collie|Russell Durham Comegys,148771,False
10,9,5/17/2018,Gregg Turkington|Mark Proksch|Tim Heidecker,XYReLQBKo50,149061,2336,126,36 Hours to Die,1999,https://images-na.ssl-images-amazon.com/images/M/MV5BNzI0NTAxOTYzNF5BMl5BanBnXkFtZTcwNDM5NzUyMQ@@._V1_SX300.jpg,0195509,5.2,90,Treat Williams|Kim Cattrall|Carroll O'Connor|Saul Rubinek|Alain Goulem,313,False
10,10,5/25/2018,Gregg Turkington|Tim Heidecker,m1a1sLe1W3w,185430,3629,97,Double Exposure,1994,https://images-na.ssl-images-amazon.com/images/M/MV5BNWEwOWU5ZGQtNGIzOS00OWY3LTk0MDktM2U2MDJiMWQyMGJkXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,0106762,4.3,93,Ron Perlman|Ian Buchanan|Dedee Pfeiffer|Jennifer Gatti|William R. Moses,146,False
10,10,5/25/2018,Gregg Turkington|Tim Heidecker,m1a1sLe1W3w,185430,3629,97,Blackheart,1998,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxMDcwNjgxOV5BMl5BanBnXkFtZTcwNjM0NTIyMQ@@._V1_SX300.jpg,0158501,4.9,95,Richard Grieco|Christopher Plummer|Fiona Loewi|Maria Conchita Alonso|A.C. Peterson,198,False
10,10,5/25/2018,Gregg Turkington|Tim Heidecker,m1a1sLe1W3w,185430,3629,97,Blade,1998,https://m.media-amazon.com/images/M/MV5BOTk2NDNjZWQtMGY0Mi00YTY2LWE5MzctMGRhZmNlYzljYTg5XkEyXkFqcGdeQXVyMTAyNjg4NjE0._V1_.jpg,0120611,7.1,120,Wesley Snipes|Stephen Dorff|Kris Kristofferson|N'Bushe Wright|Donal Logue,242756,False
